house,district,WSC_25,PRE_24,WSA_24,WSS_24,GOV_22,USS_22,PRE_20,GOV_18,USS_18,PRE_16,USS_16,GOV_14,PRE_12,GOV_12,USS_12
wsa,13,63.20967281266859,60.4483668086833,57.30119991864958,NA,59.28203871641475,56.88986760031373,57.90018994155774,48.03316035302796,52.571764959179376,52.203957490991556,44.1729560118347,38.40272063023548,42.488288471919134,37.39610904655278,41.49307161723545
wsa,14,62.210771441312,55.173435134601455,54.80321031787755,NA,57.48910645619551,55.60011285586809,55.016455739151084,51.873130804344406,56.87618605011425,50.85924563017479,48.04791011553546,45.035642550510026,51.27408640144541,45.267511603020324,50.4906424043338
wsa,15,45.80208587673096,43.649104593823,40.86348274868355,NA,43.22084834167695,40.494695057627084,42.87556924372844,34.771700754598555,40.01924325689079,38.12881427325391,32.33603494590396,26.824751763261904,32.55156670639228,26.601879113675075,31.805514721795596
wsa,16,92.6818112517152,86.46880212119916,100,100,92.0312802947069,91.68722717783261,90.50269379758672,90.70202966037354,91.53070305547315,90.86070362196547,85.96514104403008,90.05243298868035,90.02205786946932,92.4151880114002,88.33808232345773
wsa,17,86.6961588260682,84.3731778425656,100,100,85.61177723253553,85.12148512148512,84.68537784765664,82.94594699468395,84.93948390043388,84.63760047322454,80.93416063426405,80.59505988023952,82.84629787146149,79.9189209974205,81.55104382256847
wsa,18,85.635551430063245,83.85934299370305,82.43896639188333,100,84.92210589590744,84.21728395061729,84.19401277176922,82.52191567565576,84.19780781773012,85.02337459695674,80.04876283821777,80.30968726354797,83.50762393835443,80.50466093361209,81.8115291798351
wsa,19,87.78221886140219,80.63200245871867,100,NA,84.4016120553706,83.27437924816202,81.2078551993375,77.88620575587166,80.167156087644,78.2507637136406,71.8607305936073,69.13387158135012,71.17259552042161,68.42896008446014,68.33546501004933
wsa,20,67.92107995846314,59.575931574854955,61.108736797118254,NA,63.335199774766814,61.398903755324874,59.36693669366937,58.9402560455192,63.58102434928632,57.519284592804965,55.8928808166512,53.56413879729942,58.816933846480204,52.94328786791098,58.440703470328224
wsa,21,59.66390280672195,52.077022284874474,48.58731316077288,NA,54.73423505290395,52.709521788911495,52.36183061030562,50.14358044283232,55.44547052005833,50.12315270935961,47.23943661971831,44.85120054108894,50.383326414074105,45.56104282355724,50.109527707631905
wsa,22,48.624648116844575,44.95493300852619,41.92705766387383,44.44118079013071,44.94114288696698,42.488066717223774,44.34183673469388,36.7722602739726,42.49477858159034,40.10820837842016,34.104501560813375,29.93776282590412,34.9617182018282,29.49501778448238,34.3215216900939
wsa,23,68.72401021591945,64.44502007511981,62.637160224192826,63.879624804585724,64.6987895956588,62.4197566575299,63.86621928372901,54.52378538790833,59.694058435872265,59.589284713818856,50.64742583848586,45.51094149378495,48.78243799248562,44.171144975708714,47.252273158805664
wsa,24,47.227631068022916,44.986915887850465,39.97232356271229,44.580818074793974,43.57625081795714,40.91441808376249,42.421316344332006,34.16523355523858,40.80219664331025,37.636381883060125,32.09348566043791,27.923685698202167,34.19648553642444,28.391294570726384,33.81459184680754
wsa,25,46.860799885295776,42.18774340281023,38.23084200567644,NA,43.45355727338564,40.96107429422251,42.13539154204856,42.166809273519945,49.99799446472263,41.854805496274665,40.65689367229542,40.77858469853065,51.04023190688489,38.55179452513195,50.989166623111984
wsa,26,56.908975112629356,51.350981599288595,51.46047219053544,NA,52.80319410157447,50.5702666054942,51.8128901044954,49.938178927845975,55.78910644978413,51.74499387004495,48.94955489614243,45.448957397512885,55.47709364900992,43.957782279264144,53.69406763058427
