house,district,WSCTOT25,WSCLIB25,WSCCON25,PRETOT24,PREDEM24,PREREP24,WSATOT24,WSADEM24,WSAREP24,WSSTOT24,WSSDEM24,WSSREP24,GOVDEM22,GOVREP22,GOVTOT22,USSDEM22,USSREP22,USSTOT22,PREDEM20,PREREP20,PRETOT20,GOVDEM18,GOVREP18,GOVTOT18,USSDEM18,USSREP18,USSTOT18,PREDEM16,PREREP16,PRETOT16,USSDEM16,USSREP16,USSTOT16,GOVDEM14,GOVREP14,GOVTOT14,PREDEM12,PREREP12,PRETOT12,GOVDEM12,GOVREP12,GOVTOT12,USSDEM12,USSREP12,USSTOT12
wsa,32,24145.432669322712,9687.024701195218,14438.099601593625,36953,12435,23990,35709,11409,24257,NA,NA,NA,9608.471064207755,16871.183278556484,26832.999500749134,9246.03062501825,17450.656814345875,26768.584407563292,12130.971061093249,22057.90996784566,34778.8231511254,9060.318353913031,15361.618538847317,25176.89498792951,10815.15727486219,14153.753262936149,25015.906046842792,9514.575514846196,17265.985216368583,28497.47793362612,9515.564525802967,17745.96480058942,28339.47499313601,7134.421885381251,13389.7645755941,20776.17503742566,12178.54900201683,16135.607542594602,28692.162215573724,7561.353234017799,13700.491562709389,21397.8443593675,11637.5338942447,15328.56724198483,28096.13879242801
wsa,33,26050.82665036261,10326.874402595233,15702.104889511327,36851,12720,23583,36083,10739,20555,NA,NA,NA,10398.263496219635,18156.369128026465,28925.720399100017,9890.079919764456,18928.886632332345,28923.101253374607,12544.028938906751,22508.09003215434,35662.176848874595,9597.496663880676,18158.018057139823,28326.52181176364,11250.62350841478,16836.905254339883,28138.52555455996,9833.683333489613,19006.67413048495,30717.2243366254,9652.716090751994,20043.613164968105,30580.30985145905,7964.438993349003,16968.89521436585,25173.32440702812,11855.592325410427,19355.395647013254,31534.930178891536,8911.068805471406,17737.457555876892,26767.49054789841,11690.694515812404,18453.538585177692,31045.02048262457
wsa,34,27363,11996.999999999998,15338.000000000002,39968,15784,23652,39091,14027,25040,38611,14064,24518,13416,18763,32585,12754,19683,32502,15597,22335,38513,12031,18616,31332,14249,16890,31179,12539,19825,34290,12763,19846,33931,11140,16389,27925,15923.002197757767,18279.002607787203,34616.00483834732,11195.00142690243,17311.002460176605,28744.00388707903,15357.002132153057,17128.002509380138,33869.004756341434
wsa,35,24492,9516,14966.999999999998,37223,12696,24019,36055,11616,24421,36193,10938,25235,10325,18579,29341,9738,19456,29230,12453.036869340232,22627.11513583441,35522.54010349289,10200.75794032829,17756.973514302634,29144.972931430948,13003.696126773615,15816.28915820738,28836.000652185707,10900.06790213618,19322.04775595352,31929.6784774385,11621.206697103084,18367.096392858184,31420.548152890697,9951.511522108249,16197.471337967168,26464.07807695835,15075.52436485123,17322.376880880223,32814.873141561,10271.58752945656,16887.69399681138,27386.225501667526,14912.98926863567,15931.534227913156,32081.70837268963
wsa,36,23476,8219,15236.999999999998,36061,10944,24713,35190,10182,24905,35132,10626,24409,9088,18553,28025,8644,19294,27994,10858,22824,34096,9144,16472,26050,11160,14647,25814,9526,19566,30280,9786,18691,29624,8992,14459,23701,14491.22685804654,15956.268104964092,30826.5026013287,9195.162696174792,15377.281090104803,24742.446077775017,14101.226094214731,15009.24671767351,29997.490380019794
wsa,37,20857,8478.000000000002,12379.000000000002,31676,11116,20115,30589,9608,20977,NA,NA,NA,8923,15303,24477,8699,15587,24294,11040,18994,30490,9396,13707,23549,10707,12586,23297,9420,16046,27073,10030,16170,27080,8908,13718,22848,12770.908220850051,14832.735676048153,27925.638390149208,9894.93024784604,14494.73934721415,24556.66959506019,12186.915563182049,14473.737511631152,27498.642061315208
wsa,38,23411.3018771544,9077.053078158875,14327.583306037777,34438,11687,22181,32948,10745,22163,NA,NA,NA,9282.905882429905,16659.112975101725,26289.53603904175,8938.525891326817,17160.984542921065,26118.25290000131,11566,21106,33290,9125.990649033572,16158.98415918374,25778.974529083986,10780.989532500267,14758.985275717045,25555.97480821731,9547.981857793917,17992.96439253582,29478.943271758588,9962.98104545633,18525.963986367027,29411.94340714819,8305.990858383568,16251.983600917089,24857.97424995066,12610.692762365914,17571.87736032666,30603.56762081114,9187.814464616282,17047.91530425206,26435.734083554788,11934.702286859076,17250.884258928072,30096.58231502623
wsa,39,23509,8777,14728,34594,11278,22789,33462,10168,23266,NA,NA,NA,9372,17942,27666,8958,18654,27643,11240,21887,33617,9458,16337,26305,11125,14908,26052,9455,18671,29782,10026,18424,29474,8748,15648,24678,13140.995942971798,17034.996136163616,30543.991982539505,9006.996908930894,16949.99666744112,26163.9934797761,12388.996039567708,16811.99666744112,30098.992272327232
wsa,4,25885,10385,15485,38406,13385,24534,37234,12579,24629,37445,12853,24569,11018.512419637638,18499.13896672053,29887.825317151994,10395.56525681576,19388.09692474301,29847.32743579606,12837,22870,36226,10251.799815973372,17176.681888075094,27884.47406238237,11963.764071909887,15758.712921175049,27750.476708762984,10233.583666033745,19479.319677319036,31358.838659835743,10093.607408306016,19784.271746210812,30916.84694654886,8650.846145242002,15512.728167169604,24407.571914785454,12924.26698468694,16820.920635477454,30062.10744904537,8944.128739304919,16175.748994710044,25247.829723978135,12833.236822348588,15820.155873005137,29533.23143346921
wsa,40,24327,14534,9788,34241,17681,16021,33186,17949,15221,33272,17488,15762,14979,11273,26533,14349,12102,26478,17654,15074,33286,15226.04533498528,11102.032537070776,26939.07895662508,16314.04945634758,10509.028849536087,26837.07852279747,14414.092285376137,12975.069860892216,29171.173789750388,16037.098322737193,12309.071154612442,29153.172064790084,13050.044684243863,10719.032537070776,24110.078305883668,18016.9972426956,11714.949900808017,30060.949718199732,13201.01312414893,12084.954870373958,25460.96648620803,16837.996848859315,12215.952865743167,29735.9475244571
