house,district,office,year,TOT,DEM,REP,dem_pct,margin
wsa,20,GOV,2022,26880.347926784805,16831.17410632247,9743.580794866186,63.335199774766814,26.367193351667456
wsa,20,USS,2022,26853.15025158609,16445.284567928244,10339.04473127689,61.398903755324874,22.73937984721434
wsa,20,PRE,2020,33967,19787,13543,59.36693669366937,18.382547766950275
wsa,20,GOV,2018,28844,16574,11546,58.9402560455192,17.431701567050332
wsa,20,USS,2018,28658,18174,10410,63.58102434928632,27.091911508130366
wsa,20,PRE,2016,31531,16852,12446,57.519284592804965,13.97354983984016
wsa,20,USS,2016,31204,16864,13308,55.8928808166512,11.395974875016018
wsa,20,GOV,2014,25882,13646,11830,53.56413879729942,7.016459315354295
wsa,20,PRE,2012,33509,19409,13590,58.816933846480204,17.365483899847806
wsa,20,GOV,2012,28044,14750,13110,52.94328786791098,5.8479532163742745
wsa,20,USS,2012,32798,18642,13257,58.440703470328224,16.41868406610159
wsa,21,WSC,2025,22575,13456,9096.999999999998,59.66390280672195,19.30897009966778
wsa,21,PRE,2024,34227,17363,15978,52.077022284874474,4.04651298682327
wsa,21,WSA,2024,33009,15993,16923,48.58731316077288,-2.817413432700172
wsa,21,GOV,2022,25814.6520732152,13985.825893677533,11566.419205133816,54.73423505290395,9.372222727162177
wsa,21,USS,2022,25782.849748413915,13556.715432071758,12162.95526872311,52.709521788911495,5.4057645952592495
wsa,21,PRE,2020,33243,17082,15541,52.36183061030562,4.635562374033631
wsa,21,GOV,2018,26967,13271,13195,50.14358044283232,0.28182593540252987
wsa,21,USS,2018,26804,14830,11917,55.44547052005833,10.867780928219673
wsa,21,PRE,2016,29501,13838,13770,50.12315270935961,0.23050066099454258
wsa,21,USS,2016,29103,13416,14984,47.23943661971831,-5.387760711954087
wsa,21,GOV,2014,23930,10610,13046,44.85120054108894,-10.179690764730465
wsa,21,PRE,2012,31118.222643097644,15502.52904040404,15266.636363636364,50.383326414074105,0.7580531814852853
wsa,21,GOV,2012,25636.092171717173,11622.63468013468,13887.393097643098,45.56104282355724,-8.834257586290766
wsa,21,USS,2012,30458.015151515152,14893.478956228955,14828.371632996634,50.109527707631905,0.21376088661208548
wsa,22,WSC,2025,31598.279292676736,15356.100365511065,16224.797307229925,48.624648116844575,-2.749190655834827
wsa,22,PRE,2024,41726,18454,22596,44.95493300852619,-9.92666442985189
wsa,22,WSA,2024,40628,17014,23566,41.92705766387383,-16.12680909717436
wsa,22,GOV,2022,34597.435217167375,15416.2213504993,18886.914618412684,44.94114288696698,-10.0316490113441
wsa,22,USS,2022,34544.71162679743,14639.972942700564,19816.697068048183,42.488066717223774,-14.985576319970988
wsa,22,PRE,2020,39883,17382,21818,44.34183673469388,-11.122533410224905
wsa,22,GOV,2018,33199,12026,20678,36.7722602739726,-26.061025934516103
wsa,22,USS,2018,33075,14039,18998,42.49477858159034,-14.993197278911557
wsa,22,PRE,2016,34917,12973,19372,40.10820837842016,-18.32631669387404
wsa,22,USS,2016,35008,11690,22587,34.104501560813375,-31.127170932358318
wsa,22,GOV,2014,29972,8899,20826,29.93776282590412,-39.79380755371681
wsa,22,PRE,2012,35659.50238692063,12330.122294036277,22937.372921320493,34.9617182018282,-29.745930025021316
wsa,22,GOV,2012,31161.40085267446,9155.076245047308,21884.322720373504,29.49501778448238,-40.849403836200445
wsa,22,USS,2012,35146.496347708955,11761.121916585544,22506.361975249343,34.3215216900939,-30.572720399665766
wsa,23,WSC,2025,29845.20724121637,20500.383411857227,9329.632833481803,68.72401021591945,37.42895965871722
wsa,23,PRE,2024,39340,24879,13726,64.44502007511981,28.350279613624807
wsa,23,WSA,2024,38046,23804,14199,62.637160224192826,25.245755138516536
wsa,23,GOV,2022,33363.168029220426,21459.643265864714,11708.895743873776,64.6987895956588,29.226084026106125
wsa,23,USS,2022,33343.04899305315,20764.612807674763,12501.477801427056,62.4197566575299,24.78218176138987
wsa,23,PRE,2020,39950.35307517084,25131.19362186788,14218.550113895217,63.86621928372901,27.31551204926616
wsa,23,GOV,2018,34185.26794368798,18416.255250403876,15360.297715208862,54.52378538790833,8.939399100890395
wsa,23,USS,2018,34072.43895684283,20314.74705746596,13716.691899376874,59.694058435872265,19.364786789834387
wsa,23,PRE,2016,36252.48058933583,20112.843779232928,13639.606641721237,59.589284713818856,17.855984010693838
wsa,23,USS,2016,36222.247661365764,18115.33769878391,17652.201122544433,50.64742583848586,1.2785970118951384
wsa,23,GOV,2014,31190.20124624971,14102.696745903531,16884.789522270945,45.51094149378495,-8.91976539170914
wsa,23,PRE,2012,37334.22446076872,18052.10176043096,18953.22741809776,48.78243799248562,-2.4136718270757584
wsa,23,GOV,2012,32576.885525922775,14341.864909177835,18126.989853507028,44.171144975708714,-11.619051002641772
wsa,23,USS,2012,36769.20949813742,17127.7224882914,19119.681802140236,47.252273158805664,-5.4174657030626125
wsa,24,WSC,2025,29256.48615232628,13809.153774099746,15430.410992996322,47.227631068022916,-5.5415308949111894
wsa,24,PRE,2024,40800,18051,22074,44.986915887850465,-9.860294117647056
wsa,24,WSA,2024,39806,15887,23858,39.97232356271229,-20.024619404109927
wsa,24,GOV,2022,32994.787683027724,14258.024237037458,18461.688839246595,43.57625081795714,-12.740389914287793
wsa,24,USS,2022,32941.67278800635,13461.118816855593,19439.553971150755,40.91441808376249,-18.148547563959273
wsa,24,PRE,2020,39118.870786516854,16306.16713483146,22132.44943820225,42.421316344332006,-14.893789586019807
wsa,24,GOV,2018,32396.585262743003,10918.315864720467,21039.071012403205,34.16523355523858,-31.240191105332006
wsa,24,USS,2018,32216.664955270386,13129.667567496566,19049.157710649943,40.80219664331025,-18.37400038573823
wsa,24,PRE,2016,34566.75757576403,12149.405415891384,20131.607816572785,37.636381883060125,-23.09213522033668
wsa,24,USS,2016,34681.987150638066,10906.252994129112,23076.50945654916,32.09348566043791,-35.09100101317622
wsa,24,GOV,2014,29532.025355164067,8173.918155660422,21098.428783077292,27.923685698202167,-43.76438958040122
wsa,24,PRE,2012,35120.12243567349,11891.99192020125,22883.487880301873,34.19648553642444,-31.296861166224012
wsa,24,GOV,2012,30909.98197583355,8750.779987395392,22071.273461404093,28.391294570726384,-43.094471826036994
wsa,24,USS,2012,34690.908638298686,11457.778122826448,22426.345555893,33.81459184680754,-31.61798829609576
wsa,25,WSC,2025,23076.856743535987,10807.5034940601,12255.490566037735,46.860799885295776,-6.274628681322591
wsa,25,PRE,2024,32596,13541,18556,42.18774340281023,-15.385323352558588
wsa,25,WSA,2024,31736,12123,19587,38.23084200567644,-23.51903201411646
wsa,25,GOV,2022,25205.599908130454,10783.523197060174,14032.680293982545,43.45355727338564,-12.890616009001654
wsa,25,USS,2022,25125.18236104731,10265.60404225999,14796.24850711989,40.96107429422251,-18.03228489948777
wsa,25,PRE,2020,31710,13102,17993,42.13539154204856,-15.424156417533903
wsa,25,GOV,2018,25061,10349,14194,42.166809273519945,-15.342564143489879
wsa,25,USS,2018,24959,12465,12466,49.99799446472263,-0.004006570776071694
wsa,25,PRE,2016,28980,11179,15530,41.854805496274665,-15.013802622498273
wsa,25,USS,2016,28255,10955,15990,40.65689367229542,-17.819854892939308
wsa,25,GOV,2014,24004,9658,14026,40.77858469853065,-18.196967172137978
wsa,25,PRE,2012,30434.68862231975,15310.89182093387,14686.800683414958,51.04023190688489,2.050591498613935
wsa,25,GOV,2012,25223.743418837326,9640.93384190768,15366.809534662623,38.55179452513195,-22.700340697561987
wsa,25,USS,2012,29807.695636482884,14615.893907703176,14048.81052988258,50.989166623111984,1.9024730550674274
wsa,26,WSC,2025,20089.14325646401,11420.496505939902,8647.509433962263,56.908975112629356,13.803411308172064
wsa,26,PRE,2024,29734,15014,14224,51.350981599288595,2.6568911010963814
wsa,26,WSA,2024,28993,14887,14042,51.46047219053544,2.914496602628219
